county,date,countm_u20,countm_o21,countm_total,countc_total,,,,,,,,,,
Adams,April 2025,66196,76589,142785,11954,,,,,,,,,,
Alamosa,April 2025,2502,3903,6405,460,,,,,,,,,,
Arapahoe,April 2025,61184,83874,145058,10607,,,,,,,,,,
Archuleta,April 2025,1246,1880,3126,235,,,,,,,,,,
Baca,April 2025,490,687,1177,118,,,,,,,,,,
Bent,April 2025,566,1088,1654,87,,,,,,,,,,
Boulder,April 2025,15859,30086,45945,2923,,,,,,,,,,
Broomfield,April 2025,3143,4986,8129,658,,,,,,,,,,
Chaffee,April 2025,1096,2359,3455,245,,,,,,,,,,
Cheyenne,April 2025,236,278,514,51,,,,,,,,,,
Clear Creek,April 2025,343,884,1227,72,,,,,,,,,,
Conejos,April 2025,1103,1717,2820,231,,,,,,,,,,
Costilla,April 2025,586,1258,1844,62,,,,,,,,,,
Crowley,April 2025,441,858,1299,56,,,,,,,,,,
Custer,April 2025,358,621,979,81,,,,,,,,,,
Delta,April 2025,2976,4717,7693,840,,,,,,,,,,
Denver,April 2025,70950,126139,197089,9843,,,,,,,,,,
Dolores,April 2025,220,338,558,38,,,,,,,,,,
Douglas,April 2025,12262,17495,29757,2351,,,,,,,,,,
Eagle,April 2025,2762,3285,6047,931,,,,,,,,,,
El Paso,April 2025,66557,95319,161876,10011,,,,,,,,,,
Elbert,April 2025,1377,1672,3049,272,,,,,,,,,,
Fremont,April 2025,4156,8099,12255,769,,,,,,,,,,
Garfield,April 2025,5777,6458,12235,1740,,,,,,,,,,
Gilpin,April 2025,287,721,1008,60,,,,,,,,,,
Grand,April 2025,686,1110,1796,180,,,,,,,,,,
Gunnison,April 2025,821,1586,2407,266,,,,,,,,,,
Hinsdale,April 2025,,,139,,,,,,,,,,,
Huerfano,April 2025,727,1757,2484,108,,,,,,,,,,
Jackson,April 2025,,,210,,,,,,,,,,,
Jefferson,April 2025,28668,52355,81023,4834,,,,,,,,,,
Kiowa,April 2025,219,258,477,35,,,,,,,,,,
Kit Carson,April 2025,845,928,1773,209,,,,,,,,,,
La Plata,April 2025,3739,6797,10536,730,,,,,,,,,,
Lake,April 2025,584,824,1408,138,,,,,,,,,,
Larimer,April 2025,22092,39174,61266,4060,,,,,,,,,,
Las Animas,April 2025,1619,3216,4835,222,,,,,,,,,,
Lincoln,April 2025,537,792,1329,91,,,,,,,,,,
Logan,April 2025,1829,3014,4843,379,,,,,,,,,,
Mesa,April 2025,15579,24275,39854,2924,,,,,,,,,,
Mineral,April 2025,,,156,,,,,,,,,,,
Moffat,April 2025,1305,1763,3068,300,,,,,,,,,,
Montezuma,April 2025,3247,5340,8587,672,,,,,,,,,,
Montrose,April 2025,4404,6336,10740,1306,,,,,,,,,,
Morgan,April 2025,3859,4217,8076,838,,,,,,,,,,
Otero,April 2025,2790,4375,7165,448,,,,,,,,,,
Ouray,April 2025,183,414,597,75,,,,,,,,,,
Park,April 2025,860,1935,2795,174,,,,,,,,,,
Phillips,April 2025,394,532,926,126,,,,,,,,,,
Pitkin,April 2025,310,757,1067,142,,,,,,,,,,
Prowers,April 2025,1824,2626,4450,458,,,,,,,,,,
Pueblo,April 2025,23395,38880,62275,2807,,,,,,,,,,
Rio Blanco,April 2025,516,660,1176,102,,,,,,,,,,
Rio Grande,April 2025,1379,2385,3764,268,,,,,,,,,,
Routt,April 2025,775,1381,2156,271,,,,,,,,,,
Saguache,April 2025,825,1510,2335,163,,,,,,,,,,
San Juan,April 2025,,,127,,,,,,,,,,,
San Miguel,April 2025,290,519,809,121,,,,,,,,,,
Sedgwick,April 2025,212,442,654,50,,,,,,,,,,
Summit,April 2025,1279,2101,3380,415,,,,,,,,,,
Teller,April 2025,1613,3034,4647,285,,,,,,,,,,
Washington,April 2025,507,659,1166,104,,,,,,,,,,
Weld,April 2025,36843,41958,78801,7250,,,,,,,,,,
Yuma,April 2025,1222,1282,2504,289,,,,,,,,,,
Adams,July 2024,63444,71001,134445,12065,,,,,,,,,,
Alamosa,July 2024,2438,3735,6173,517,,,,,,,,,,
Arapahoe,July 2024,60075,78666,138741,10965,,,,,,,,,,
Archuleta,July 2024,1219,1904,3123,251,,,,,,,,,,
Baca,July 2024,471,682,1153,118,,,,,,,,,,
Bent,July 2024,542,1097,1639,103,,,,,,,,,,
Boulder,July 2024,15243,28229,43472,3099,,,,,,,,,,
Broomfield,July 2024,3069,4711,7780,681,,,,,,,,,,
Chaffee,July 2024,1114,2345,3459,275,,,,,,,,,,
Cheyenne,July 2024,241,290,531,42,,,,,,,,,,
Clear Creek,July 2024,306,869,1175,98,,,,,,,,,,
Conejos,July 2024,1141,1735,2876,251,,,,,,,,,,
Costilla,July 2024,540,1242,1782,64,,,,,,,,,,
Crowley,July 2024,427,828,1255,63,,,,,,,,,,
Custer,July 2024,362,624,986,58,,,,,,,,,,
Delta,July 2024,3097,4799,7896,805,,,,,,,,,,
Denver,July 2024,70408,117676,188084,10650,,,,,,,,,,
Dolores,July 2024,210,347,557,45,,,,,,,,,,
Douglas,July 2024,11904,16727,28631,2505,,,,,,,,,,
Eagle,July 2024,2692,3116,5808,1041,,,,,,,,,,
El Paso,July 2024,64238,90538,154776,10050,,,,,,,,,,
Elbert,July 2024,1267,1624,2891,315,,,,,,,,,,
Fremont,July 2024,4033,8045,12078,840,,,,,,,,,,
Garfield,July 2024,5392,5883,11275,1960,,,,,,,,,,
Gilpin,July 2024,304,710,1014,66,,,,,,,,,,
Grand,July 2024,659,1035,1694,207,,,,,,,,,,
Gunnison,July 2024,807,1524,2331,272,,,,,,,,,,
Hinsdale,July 2024,,,142,NR,,,,,,,,,,
Huerfano,July 2024,741,1728,2469,87,,,,,,,,,,
Jackson,July 2024,,,204,NR,,,,,,,,,,
Jefferson,July 2024,28817,50611,79428,5002,,,,,,,,,,
Kiowa,July 2024,207,253,460,37,,,,,,,,,,
Kit Carson,July 2024,817,922,1739,214,,,,,,,,,,
La Plata,July 2024,3655,6625,10280,821,,,,,,,,,,
Lake,July 2024,530,744,1274,133,,,,,,,,,,
Larimer,July 2024,21601,37612,59213,4389,,,,,,,,,,
Las Animas,July 2024,1632,3198,4830,250,,,,,,,,,,
Lincoln,July 2024,539,764,1303,77,,,,,,,,,,
Logan,July 2024,1802,2939,4741,417,,,,,,,,,,
Mesa,July 2024,15202,23440,38642,3155,,,,,,,,,,
Mineral,July 2024,,,160,NR,,,,,,,,,,
Moffat,July 2024,1290,1731,3021,306,,,,,,,,,,
Montezuma,July 2024,3165,5236,8401,715,,,,,,,,,,
Montrose,July 2024,4343,6250,10593,1397,,,,,,,,,,
Morgan,July 2024,3632,4018,7650,906,,,,,,,,,,
Otero,July 2024,2770,4296,7066,468,,,,,,,,,,
Ouray,July 2024,166,368,534,70,,,,,,,,,,
